"YEAR","MONTH_YEAR","ADMIN1","ADMIN2","TOTAL_FATALITIES","Strategic developments","Explosions/Remote violence","Protests","Violence against civilians","Battles","Riots"
1997,"1997-01","Gambela","Agnewak",0,1,0,0,0,0,0
1997,"1997-02","Gambela","Agnewak",0,1,0,0,0,0,0
1997,"1997-02","Harari","Harari",2,0,1,0,0,0,0
1997,"1997-03","Addis Ababa","Region 14",0,0,0,2,0,0,0
1997,"1997-04","Addis Ababa","Region 14",1,0,3,0,0,0,0
1997,"1997-04","Dire Dawa","Dire Dawa urban",0,0,1,0,0,0,0
1997,"1997-05","Addis Ababa","Region 14",1,0,0,0,1,0,0
1997,"1997-05","SNNP","Gamo",0,0,0,0,1,0,0
1997,"1997-06","Oromia","Borena",24,0,0,0,0,1,0
1997,"1997-06","Oromia","East Hararge",16,0,0,0,1,1,0
1997,"1997-06","Sidama","Sidama",27,0,0,0,1,1,0
1997,"1997-07","Oromia","West Shewa",2,0,0,0,0,1,0
1997,"1997-08","Harari","Harari",0,0,1,0,0,0,0
1997,"1997-09","Addis Ababa","Region 14",1,0,1,0,0,0,0
1997,"1997-09","Somali","Jarar",4,0,0,0,2,0,0
1997,"1997-10","Addis Ababa","Region 14",6,0,0,0,1,1,0
1998,"1998-02","Oromia","West Shewa",1,0,1,0,0,0,0
1998,"1998-04","Amhara","Central Gondar",1,0,0,0,1,0,0
1998,"1998-04","Amhara","East Gojam",4,0,1,0,0,0,0
1998,"1998-04","Oromia","North Shewa",0,0,0,0,0,1,0
1998,"1998-04","Somali","Jarar",0,0,0,0,0,1,0
1998,"1998-05","Afar","Awsi-Zone 1",0,0,0,0,0,1,0
1998,"1998-05","Oromia","North Shewa",2,0,1,0,0,1,0
1998,"1998-05","Somali","Jarar",87,0,0,0,0,1,0
1998,"1998-05","Tigray","Eastern Tigray",0,0,0,0,0,2,0
1998,"1998-05","Tigray","North Western Tigray",15,0,0,0,1,1,0
1998,"1998-06","Afar","Awsi-Zone 1",600,0,0,0,0,1,0
1998,"1998-06","Oromia","Finfine Special",0,0,0,0,1,0,0
1998,"1998-06","Somali","Jarar",0,0,0,0,1,0,0
1998,"1998-06","Somali","Shabelle",0,0,0,0,1,0,0
1998,"1998-06","Tigray","Eastern Tigray",4,0,2,0,0,8,0
1998,"1998-06","Tigray","Mekelle Tigray",51,0,3,0,0,0,0
1998,"1998-07","Addis Ababa","Region 14",0,0,0,1,0,0,0
1998,"1998-07","Oromia","Borena",0,1,0,0,0,0,0
1998,"1998-07","SNNP","Gedeo",140,0,0,0,0,1,0
1998,"1998-07","Somali","Korahe",0,0,0,0,0,1,0
1998,"1998-07","Tigray","North Western Tigray",18,0,0,0,1,0,0
1998,"1998-09","Gambela","Agnewak",0,1,0,0,0,0,0
1998,"1998-10","Gambela","Itang Special woreda",2,0,0,0,1,0,0
1998,"1998-10","Oromia","East Hararge",13,3,0,0,1,0,0
1998,"1998-10","Oromia","Jimma",0,0,0,0,3,1,0
1998,"1998-10","SNNP","Gofa",0,0,0,0,3,0,0
1998,"1998-10","Tigray","Eastern Tigray",2,0,1,0,0,1,0
1998,"1998-10","Tigray","North Western Tigray",11,0,1,0,0,0,0
1998,"1998-11","Sidama","Sidama",3,0,0,0,1,0,0
1998,"1998-11","Somali","Jarar",0,1,0,0,0,0,0
1998,"1998-11","Tigray","Eastern Tigray",1,0,1,0,0,4,0
1998,"1998-12","Dire Dawa","Dire Dawa urban",1,0,1,0,0,0,0
1998,"1998-12","Sidama","Sidama",2,0,0,0,1,0,0
1999,"1999-01","Oromia","Arsi",62,0,0,0,0,1,0
1999,"1999-01","Oromia","Borena",18,0,0,0,0,1,0
1999,"1999-01","Somali","Liban",15,0,0,0,1,0,0
1999,"1999-02","Afar","Awsi-Zone 1",3,0,2,0,0,0,0
1999,"1999-02","Tigray","Eastern Tigray",5554,0,3,0,1,5,0
1999,"1999-02","Tigray","South Eastern Tigray",1846,0,0,0,0,2,0
1999,"1999-03","Oromia","Arsi",49,0,0,0,1,2,0
1999,"1999-03","Oromia","Borena",147,0,0,0,1,2,0
1999,"1999-03","Oromia","West Shewa",0,0,0,0,1,0,0
1999,"1999-03","Somali","Fafan",168,0,0,0,0,1,0
1999,"1999-03","Tigray","Eastern Tigray",6461,0,1,0,0,7,0
1999,"1999-04","Somali","Jarar",0,0,0,0,1,0,0
1999,"1999-05","Oromia","Arsi",0,0,0,0,0,1,0
1999,"1999-05","Somali","Shabelle",47,0,0,0,0,1,0
1999,"1999-05","Tigray","Eastern Tigray",0,0,0,0,0,2,0
1999,"1999-06","Afar","Awsi-Zone 1",1846,0,0,0,0,2,0
1999,"1999-07","Oromia","Borena",322,0,0,0,0,1,0
1999,"1999-07","Oromia","East Bale",1172,0,0,0,0,1,0
1999,"1999-07","Oromia","East Wellega",226,0,0,0,0,2,0
1999,"1999-07","Somali","Afder",16,0,0,0,0,1,0
1999,"1999-07","Somali","Jarar",0,0,0,0,0,1,0
1999,"1999-07","Somali","Shabelle",40,0,0,0,0,1,0
1999,"1999-08","Amhara","North Wello",25,0,0,0,1,0,0
1999,"1999-08","Dire Dawa","Dire Dawa urban",0,0,1,0,0,0,0
1999,"1999-08","Oromia","Arsi",0,0,0,0,0,3,0
1999,"1999-08","Oromia","Bale",85,0,0,0,0,2,0
1999,"1999-08","Oromia","Borena",159,0,0,0,0,3,0
1999,"1999-08","Oromia","East Bale",55,0,0,0,0,2,0
1999,"1999-08","Oromia","North Shewa",123,0,0,0,0,1,0
1999,"1999-08","Oromia","West Shewa",2,0,0,0,1,0,0
1999,"1999-08","SNNP","Kembata Tibaro",202,0,0,0,0,1,0
1999,"1999-08","Somali","Afder",53,0,0,0,0,1,0
1999,"1999-10","Afar","Awsi-Zone 1",2,0,0,0,1,0,0
1999,"1999-10","Oromia","Borena",3,0,0,0,1,0,0
1999,"1999-10","Somali","Fafan",86,0,0,0,0,2,0
1999,"1999-10","Somali","Korahe",24,0,0,0,0,1,0
1999,"1999-10","Somali","Siti",18,0,0,0,0,1,0
1999,"1999-11","Dire Dawa","Dire Dawa urban",2,0,1,0,0,0,0
1999,"1999-11","Oromia","Borena",0,0,0,0,0,1,0
1999,"1999-11","SNNP","South Omo",0,0,0,0,1,0,0
1999,"1999-12","SNNP","South Omo",8,0,0,0,1,1,0
2000,"2000-01","Oromia","East Hararge",5,0,1,0,0,0,0
2000,"2000-02","Addis Ababa","Region 14",1,0,0,0,1,0,0
2000,"2000-02","Oromia","East Wellega",0,0,0,0,0,1,0
2000,"2000-03","Dire Dawa","Dire Dawa urban",0,0,0,0,0,1,0
2000,"2000-03","Oromia","Arsi",0,0,0,0,0,0,2
2000,"2000-03","Oromia","East Hararge",0,0,0,0,0,0,2
2000,"2000-03","Oromia","West Shewa",1,0,0,0,0,0,6
2000,"2000-03","Sidama","Sidama",14,0,1,0,0,0,0
2000,"2000-03","Somali","Jarar",197,0,0,0,0,2,0
2000,"2000-05","Afar","Awsi-Zone 1",0,0,0,0,0,4,0
2000,"2000-05","Tigray","Eastern Tigray",0,1,1,0,0,2,0
2000,"2000-05","Tigray","Western Tigray",25,0,0,0,0,20,0
2000,"2000-06","Afar","Awsi-Zone 1",0,0,0,0,0,2,0
2000,"2000-06","Amhara","West Gondar",12,0,0,0,0,2,0
2000,"2000-06","Gambela","Itang Special woreda",206,0,0,0,0,3,0
2000,"2000-06","Oromia","Bale",10,0,0,0,0,2,0
2000,"2000-06","Oromia","East Hararge",30,0,0,0,0,3,0
2000,"2000-06","Oromia","North Shewa",7,0,0,0,0,1,0
2000,"2000-06","Oromia","West Shewa",5,0,0,0,0,1,0
2000,"2000-06","SNNP","Guraghe",21,0,0,0,0,1,0
2000,"2000-06","Somali","Doolo",13,0,0,0,0,1,0
2000,"2000-06","Somali","Fafan",14,0,0,0,0,1,0
2000,"2000-06","Somali","Jarar",13,0,0,0,0,1,0
2000,"2000-06","Somali","Korahe",13,0,0,0,0,1,0
2000,"2000-06","Somali","Siti",13,0,0,0,0,1,0
2000,"2000-06","Tigray","Central Tigray",0,0,1,0,0,0,0
2000,"2000-06","Tigray","North Western Tigray",0,0,1,0,0,0,0
2000,"2000-07","Amhara","South Wello",117,0,0,0,0,15,0
2000,"2000-07","Oromia","Borena",20,0,0,0,0,3,0
2000,"2000-07","Oromia","West Shewa",21,0,0,0,0,1,0
2000,"2000-07","Somali","Afder",17,0,0,0,0,1,0
2000,"2000-08","Amhara","South Wello",0,0,0,0,0,6,0
2000,"2000-08","Amhara","Wag Hamra",41,0,0,0,0,1,0
2000,"2000-08","Dire Dawa","Dire Dawa rural",41,0,0,0,0,1,0
2000,"2000-08","Dire Dawa","Dire Dawa urban",42,0,0,0,0,1,0
2000,"2000-08","Oromia","East Hararge",0,0,0,0,0,1,0
2000,"2000-08","Oromia","Kellem Wollega",135,0,0,0,0,2,0
2000,"2000-09","Oromia","Borena",0,0,0,0,0,1,0
2000,"2000-10","Amhara","North Wello",21,0,0,0,0,4,0
2000,"2000-10","Oromia","Borena",51,0,0,0,0,5,0
2000,"2000-10","Oromia","North Shewa",21,0,0,0,0,4,0
2000,"2000-10","Somali","Daawa",31,0,0,0,0,1,0
