"Year","Region","Zone","Category","Number.of.holders","Area.in.hectare","Production.in.quintal","Yqth"
"2018","","","Cereals",32564617,10232582.22,267789764,204.47
"2009","Afar"," Zone 01","Cereals",11718,11848.55,340736.33,28.76
"2008","Gambella","Agnuwak","Cereals",13805,5024.14,111780.44,40.52
"2011","Gambella","Agnuwak","Cereals",14111,4135.69,76464.97,38.38
"2012","Gambella","Agnuwak","Cereals",6770,935.76,0,0
"2013","Gambella","Agnuwak","Cereals",7250,1447.43,38256.81,26.4
"2014","Gambella","Agnuwak","Cereals",5013,1098.31,23790.26,21.66
"2015","Gambella","Agnuwak","Cereals",5013,1098.31,23790.26,21.66
"2016","Gambella","Agnuwak","Cereals",5240,1009.85,20198.58,20
"2005","SNNP","Alaba","Cereals",100874,25521,382658,86.88
"2006","SNNP","Alaba","Cereals",108442,25340.62,332875.54,67.14
"2007","SNNP","Alaba","Cereals",114289,26965.65,429922.19,80.82
"2008","SNNP","Alaba","Cereals",130931,34567.94,573727.05,88.73
"2009","SNNP","Alaba","Cereals",150053,33112.27,572448.59,80.13
"2011","SNNP","Alaba","Cereals",170927,37531.34,759573.72,92.61
"2012","SNNP","Alaba","Cereals",162406,38529.99,792382,96.32
"2013","SNNP","Alaba","Cereals",159494,38159.36,809862.7,103.47
"2014","SNNP","Alaba","Cereals",167875,39929.76,914403.8,112.54
"2015","SNNP","Alaba","Cereals",185786,39028.95,1038975.73,111.74
"2016","SNNP","Alaba","Cereals",174827,38792.42,946909.63,99.89
"2008","SNNP","Amaro","Cereals",44316,6731.31,68533.34,50.89
"2005","SNNP","Amaro ","Cereals",30972,5560,57315,28.57
"2006","SNNP","Amaro ","Cereals",34417,6874.61,42033.3,30.17
"2007","SNNP","Amaro ","Cereals",36338,7498.1,45734.53,30.01
"2011","SNNP","Amaro ","Cereals",54804,5591.47,63258.88,35.95
"2012","SNNP","Amaro ","Cereals",56839,6498.91,76026.86,46.76
"2008","Amhara","Argoba","Cereals",14547,3944.69,62149.49,99.55
"2009","Amhara","Argoba","Cereals",13330,4199.26,52791.69,67.58
"2011","Amhara","Argoba ","Cereals",13838,4507.72,75358.14,62.56
"2012","Amhara","Argoba ","Cereals",13019,4291.57,69968.27,67.69
"2013","Amhara","Argoba ","Cereals",14194,4652.82,70511.99,66.51
"2014","Amhara","Argoba ","Cereals",14326,4564.08,103445.99,118.94
"2015","Amhara","Argoba ","Cereals",13300,4660.91,112748.53,124.04
"2016","Amhara","Argoba ","Cereals",15433,4229.78,70126.14,86.79
"2005","Oromiya","Arsi","Cereals",1192879,472247,8518016,99.98
"2006","Oromiya","Arsi","Cereals",1253454,480609.99,7651424.35,92.37
"2008","Oromiya","Arsi","Cereals",1116549,411673.94,6352963.31,89.05
"2011","Oromiya","Arsi","Cereals",1119616,492426.29,10601802.52,121.95
"2012","Oromiya","Arsi","Cereals",1202389,487029.44,10914739.11,124.09
"2013","Oromiya","Arsi","Cereals",1247511,496201.94,11349976.99,126.5
"2014","Oromiya","Arsi","Cereals",1234003,504053.83,12733590.63,144.22
"2015","Oromiya","Arsi","Cereals",1207109,522854.97,13617276.84,151.12
"2016","Oromiya","Arsi","Cereals",1199371,522432.73,13683227.44,149.54
"2007","Oromiya ","Arsi","Cereals",1182389,415207.15,6383387.35,92.65
"2005","Benishangul Gumuz","Assosa","Cereals",133803,44058,471620,37.64
"2006","Benishangul Gumuz","Assosa","Cereals",138576,40804.65,480070.8,42.2
"2007","Benishangul Gumuz","Assosa","Cereals",139401,40068.46,495196.99,41.97
"2008","Benishangul Gumuz","Assosa","Cereals",149670,39495.46,577394.44,51.24
"2011","Benishangul Gumuz","Assosa","Cereals",186095,41624.71,697779.2,53.86
"2012","Benishangul Gumuz","Assosa","Cereals",193392,42462.18,770865.44,55.79
"2013","Benishangul Gumuz","Assosa","Cereals",200763,43830.02,893687.37,66.35
"2014","Benishangul Gumuz","Assosa","Cereals",200237,41635.16,824569.69,66.69
"2015","Benishangul Gumuz","Assosa","Cereals",171910,41276.38,842614.53,68.14
"2016","Benishangul Gumuz","Assosa","Cereals",178841,39308.35,833884.51,69.12
"2005","Amhara","Awi","Cereals",384247,154677,1910721,59.3
"2006","Amhara","Awi","Cereals",446616,211562.38,2706035.49,77.95
"2007","Amhara","Awi","Cereals",434876,194809.21,2710175.27,66.66
"2008","Amhara","Awi","Cereals",441430,193922.11,2966351.94,78.46
"2009","Amhara","Awi","Cereals",485995,175163.25,2538149.21,70.28
"2011","Amhara","Awi","Cereals",554217,203100.03,3398593.55,74.46
"2012","Amhara","Awi","Cereals",582442,221866.49,3894115.71,81.8
"2013","Amhara","Awi","Cereals",638236,218836.02,4604728.2,97.49
"2014","Amhara","Awi","Cereals",584387,234038.11,5439207.76,109.31
"2015","Amhara","Awi","Cereals",597559,233731.87,5780530.66,115.58
"2016","Amhara","Awi","Cereals",688888,232523.09,5998545.56,118.82
"2005","Oromiya","Bale","Cereals",981696,498572,7704917,68.93
"2006","Oromiya","Bale","Cereals",602777,311877.8,4717701.92,69.51
"2007","Oromiya","Bale","Cereals",530120,260446.27,4536164.01,77.63
"2008","Oromiya","Bale","Cereals",625579,256560.59,4820219.39,101.79
"2011","Oromiya","Bale","Cereals",562023,260906.91,4952196.64,102.38
"2012","Oromiya","Bale","Cereals",660522,291640.44,5508735.35,104.49
"2013","Oromiya","Bale","Cereals",640673,297156.15,6259212.23,110.43
"2014","Oromiya","Bale","Cereals",640364,306220.64,7326634.51,130.8
"2015","Oromiya","Bale","Cereals",646280,321126.34,7642232.85,112.15
"2016","Oromiya","Bale","Cereals",643765,307741.32,7447290.19,136.1
"2005","SNNP","Basketo","Cereals",21139,3418,46549,74.16
"2006","SNNP","Basketo","Cereals",19995,3545.43,36086.4,53.9
"2007","SNNP","Basketo","Cereals",23686,3149.48,38208.18,55.67
"2008","SNNP","Basketo","Cereals",22299,3472.73,41356.83,44.08
"2009","SNNP","Basketo","Cereals",18123,2544.11,31721.02,47.66
"2011","SNNP","Basketo","Cereals",22037,3139.95,51889.09,60.52
"2012","SNNP","Basketo","Cereals",28960,2815.64,47232.8,53.4
"2013","SNNP","Basketo","Cereals",27120,3350.11,57636.74,61.15
"2014","SNNP","Basketo","Cereals",23586,2972.49,49146.26,64.03
"2015","SNNP","Basketo","Cereals",21738,2936.19,54618.91,55.56
"2016","SNNP","Basketo","Cereals",21957,2909.63,54571.15,68.91
"2005","SNNP","Bench Maji","Cereals",115477,22101,189854,33.93
"2006","SNNP","Bench Maji","Cereals",119386,22215.78,314955.62,85.06
"2007","SNNP","Bench Maji","Cereals",157133,29637.27,462376.55,79.41
"2008","SNNP","Bench Maji","Cereals",135179,29804.37,476897.49,61.73
"2011","SNNP","Bench Maji","Cereals",146018,29279.21,565293.45,92.08
"2012","SNNP","Bench Maji","Cereals",125749,33065.26,538841.59,69.05
"2013","SNNP","Bench Maji","Cereals",140241,31957.55,596745.29,63.97
"2014","SNNP","Bench Maji","Cereals",126585,33183.25,580152.44,62.73
"2015","SNNP","Bench Maji","Cereals",142172,34988.04,730626.16,74.31
"2016","SNNP","Bench Maji","Cereals",134849,35192.47,763601.04,74.1
"2005","Oromiya","Borena","Cereals",102391,16097,166612,29.86
"2006","Oromiya","Borena","Cereals",135106,23427.99,243137.14,30.6
"2007","Oromiya","Borena","Cereals",114581,17658.55,333266.78,49.71
"2008","Oromiya","Borena","Cereals",110908,21947.76,391507.21,65.32
"2011","Oromiya","Borena","Cereals",116105,16419.03,206205.88,27.13
"2012","Oromiya","Borena","Cereals",126285,18343.06,500312.23,56.6
"2013","Oromiya","Borena","Cereals",101633,14484.63,391403.44,56.13
"2014","Oromiya","Borena","Cereals",74278,13296.55,282233.59,70.77
"2015","Oromiya","Borena","Cereals",752729,406353.45,344419.19,169.52
"2016","Oromiya","Borena","Cereals",78685,15690.83,270720.76,44.92
"2005","SNNP","Burji","Cereals",19482,4176,58936,69.48
"2006","SNNP","Burji","Cereals",20010,3866.17,18425.09,21.45
"2007","SNNP","Burji","Cereals",15205,2806.96,13349.34,21.34
"2008","SNNP","Burji","Cereals",16897,3323.53,31339.75,35.6
"2011","SNNP","Burji","Cereals",18548,4066.06,41964.12,49.42
"2012","SNNP","Burji","Cereals",22793,4208.35,42679.81,47.88
"2005","Tigray","Central Tigray","Cereals",670138,143951,1183822,50.96
"2006","Tigray","Central Tigray","Cereals",711915,141193.45,1678349.05,71.84
"2007","Tigray","Central Tigray","Cereals",811476,190928.37,2088238.79,67
"2008","Tigray","Central Tigray","Cereals",913586,187904.1,2254408.89,75.39
"2009","Tigray","Central Tigray","Cereals",971038,190958.8,2580073.86,82.67
"2011","Tigray","Central Tigray","Cereals",942082,201238.06,3747213.18,112.51
"2012","Tigray","Central Tigray","Cereals",938731,200139.03,3177791.59,98.88
"2013","Tigray","Central Tigray","Cereals",968111,193604.69,3043388.3,95.97
"2014","Tigray","Central Tigray","Cereals",915105,197261.63,3120205.5,97.93
"2015","Tigray","Central Tigray","Cereals",852880,200756.27,3398756.78,104.9
"2016","Tigray","Central Tigray","Cereals",917439,195621.73,2954838.45,92.04
"2005","SNNP","Dawuro","Cereals",96586,25039,180082,39.57
"2006","SNNP","Dawuro","Cereals",73922,12932.4,101373.55,49.54
"2007","SNNP","Dawuro","Cereals",95897,19980.74,170694.77,51.55
"2008","SNNP","Dawuro","Cereals",86646,16178.3,116808.27,25.57
"2009","SNNP","Dawuro","Cereals",100038,18802.09,231847.67,58.23
"2011","SNNP","Dawuro","Cereals",95575,25481.18,327505.04,75.53
"2012","SNNP","Dawuro","Cereals",105974,25374.13,409175.51,84.39
"2013","SNNP","Dawuro","Cereals",118323,25041.86,466871.91,102.07
"2014","SNNP","Dawuro","Cereals",112042,24717.7,360897.68,85.09
"2015","SNNP","Dawuro","Cereals",126654,25161.08,437270.39,95.47
"2016","SNNP","Dawuro","Cereals",138672,22103.58,344579.03,81.93
"2005","SNNP","Derashe ","Cereals",51108,14591,149076,46.9
"2006","SNNP","Derashe ","Cereals",44731,13439.68,123926.39,45.11
"2007","SNNP","Derashe ","Cereals",50060,14300.45,121681.59,34.64
"2008","SNNP","Derashe ","Cereals",42182,17033.15,211033.52,46.63
