"year","year_month","Price","Open","High","Low"
"2024","2024-03",56.7485,56.7439,57.118,56.2842
"2024","2024-02",56.4624,56.5959,56.7468,56.3532
"2024","2024-01",56.5959,56.3266,56.617,56.135
"2023","2023-12",55.9969,56.1709,56.3484,55.69
"2023","2023-11",56.1709,55.8586,56.1781,55.45
"2023","2023-10",55.4947,55.7224,55.8783,55.225
"2023","2023-09",55.7224,55.2538,55.7224,55.01
"2023","2023-08",55.0944,55.0872,55.3699,54.76
"2023","2023-07",54.7611,55.0038,55.1097,54.52
"2023","2023-06",55.0038,54.6034,55.1183,54.29
"2023","2023-05",54.3041,54.5362,54.7277,54.14
"2023","2023-04",54.1696,54.4027,54.6012,53.9
"2023","2023-03",54.4027,53.7974,54.4971,53.705
"2023","2023-02",53.7445,53.6609,54.0537,53.48
"2023","2023-01",53.4716,53.5945,54.0058,53.45
"2022","2022-12",53.3387,53.4421,53.7453,53.2901
"2022","2022-11",53.4421,53.364,53.541,52.845
"2022","2022-10",53.364,52.8415,53.364,52.55
"2022","2022-09",52.5893,52.7777,53.0191,52.41
"2022","2022-08",52.4617,52.6182,52.8571,52.125
"2022","2022-07",52.6182,52.1547,52.6326,52.056
"2022","2022-06",51.9938,51.9417,52.3441,51.58
"2022","2022-05",51.5678,51.8573,51.9869,51.35
"2022","2022-04",51.8573,51.3673,51.8652,51.0536
"2022","2022-03",50.9867,51.2635,51.416,50.78
"2022","2022-02",51.2635,49.8503,51.3161,49.8255
"2022","2022-01",49.7983,49.548,50.0583,49.2858
"2021","2021-12",49.1936,48.2281,49.6851,47.9
"2021","2021-11",47.8791,47.4389,48.259,47.175
"2021","2021-10",47.2184,46.3509,47.4436,46.26
"2021","2021-09",46.1007,45.6814,46.4821,45.6495
"2021","2021-08",45.4827,44.3908,45.7101,44.3022
"2021","2021-07",44.3046,43.8581,44.5023,43.7
"2021","2021-06",43.691,43.5552,43.9095,43.05
"2021","2021-05",43.6018,42.1025,43.6018,41.82
"2021","2021-04",41.9424,41.5346,42.1178,41.317
"2021","2021-03",41.3165,40.3518,41.543,39.9
"2021","2021-02",40.3518,39.4845,40.3559,39.295
"2021","2021-01",39.4355,39.3572,39.614,39.2
"2020","2020-12",39.1809,38.2584,39.3768,38.1
"2020","2020-11",38.0516,38.006,38.2664,37.55
"2020","2020-10",38.006,36.9153,38.0471,36.75
"2020","2020-09",36.7223,36.6318,36.9264,36.3276
"2020","2020-08",36.6318,35.2243,36.6318,35.147
