"year","month_year","admin1","admin2","latitude","longitude","category","unit","pricetype","usdprice"
"2020","2020-01","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",29.8742
"2020","2020-03","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",30.73645
"2020","2020-07","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",38.6819333333333
"2020","2020-08","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",38.51805
"2020","2020-09","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",40.2598666666667
"2020","2020-10","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",37.9919
"2020","2020-11","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",35.7150333333333
"2020","2020-12","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",41.8848
"2021","2021-01","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",38.2653
"2021","2021-02","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",37.9363
"2021","2021-03","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",37.2334
"2021","2021-04","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",36.3636
"2021","2021-06","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",34.7625
"2021","2021-07","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",39.33865
"2021","2021-08","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",34.54065
"2021","2021-09","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",39.3873
"2021","2021-10","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",38.6681
"2021","2021-11","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",38.176
"2021","2021-12","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",37.3289
"2022","2022-01","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",36.3738
"2022","2022-02","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",47.7137
"2022","2022-03","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",49.2126
"2022","2022-04","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",48.9428
"2022","2022-05","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",48.5618
"2022","2022-06","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",54.0641
"2022","2022-07","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",57.7559
"2022","2022-08","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",57.5484
"2022","2022-09","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",57.0745
"2022","2022-10","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",56.8949
"2022","2022-11","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",56.7752
"2022","2022-12","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",47.0367
"2023","2023-01","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",64.681
"2023","2023-03","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",59.6459
"2023","2023-04","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",59.994
"2023","2023-05","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",59.08
"2023","2023-06","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",64.4093
"2023","2023-07","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",89.9909
"2023","2023-09","Gambela","ZONE3",8.326658856,33.95340763,"cereals and tubers","100 KG","Retail",87.2727
