"ADMIN1NAME","ADMIN2NAME","POP","YEAR"
"ADIS ABEBA","ADDIS KETEMA",261024,2000
"ADIS ABEBA","AKAKI KALITI",137381,2000
"ADIS ABEBA","ARADA",253286,2000
"ADIS ABEBA","BOLE",219404,2000
"ADIS ABEBA","GULELE",274811,2000
"ADIS ABEBA","KIRKOS",225788,2000
"ADIS ABEBA","KOLFE KERANIYO",293014,2000
"ADIS ABEBA","LIDETA",206396,2000
"ADIS ABEBA","NEFAS SILK-LAFTO",334845,2000
"ADIS ABEBA","YEKA",254561,2000
"AFAR","ZONE 1",369138,2000
"AFAR","ZONE 2",248320,2000
"AFAR","ZONE 3",163074,2000
"AFAR","ZONE 4",167414,2000
"AFAR","ZONE 5",237000,2000
"AMARA","ARGOBA SPECIAL ZONE",32812,2000
"AMARA","AWI-ZONE",890315,2000
"AMARA","BAHIR DAR SPECIAL ZONE",147113,2000
"AMARA","EAST GOJJAM",1957146,2000
"AMARA","NORTH GONDAR",2523227,2000
"AMARA","NORTH SHEWA",1768566,2000
"AMARA","NORTH WELLO",1406166,2000
"AMARA","OROMIYA",454227,2000
"AMARA","SOUTH GONDAR",1956017,2000
"AMARA","SOUTH WELLO",2407764,2000
"AMARA","WAGHEMIRA",368785,2000
"AMARA","WEST GOJJAM",2014000,2000
"BINSHANGUL GUMUZ","ASOSSA",244025,2000
"BINSHANGUL GUMUZ","KEMASHI",140856,2000
"BINSHANGUL GUMUZ","METEKEL",215132,2000
"DIR? DAWA","DIR? DAWA",286737,2000
"DIR? DAWA","DIR? DAWA TOWN",14253,2000
"GAMB?LA HIZBOCH","AGNEWAK",78736,2000
"GAMB?LA HIZBOCH","MEZHENGER",81144,2000
"GAMB?LA HIZBOCH","NUWER",85577,2000
"HARERI HIZB","HARERI HIZB",159904,2000
"OROMIYA","ADAMA SPECIAL ZONE",189155,2000
"OROMIYA","ARSI",2291456,2000
"OROMIYA","BALE",1093153,2000
"OROMIYA","BORENA",776107,2000
"OROMIYA","BURAYU SPECIAL ZONE",51782,2000
"OROMIYA","EAST HARARGE",2315483,2000
"OROMIYA","EAST SHEWA",1171295,2000
"OROMIYA","EAST WELLEGA",1038359,2000
"OROMIYA","GUJI",1064705,2000
"OROMIYA","HORO GUDRU WELEGA",501202,2000
"OROMIYA","ILU ABA BORA",1061576,2000
"OROMIYA","JIMA SPECIAL ZONE",107494,2000
"OROMIYA","JIMMA",2194696,2000
"OROMIYA","KELEM WELEGA",671387,2000
"OROMIYA","NORTH SHEWA",1330103,2000
"OROMIYA","SOUTH WEST SHEWA",967855,2000
"OROMIYA","WEST ARSI",1604323,2000
"OROMIYA","WEST HARARGE",1583767,2000
"OROMIYA","WEST SHEWA",1791944,2000
"OROMIYA","WEST WELLEGA",1179558,2000
"SUMAL?","AFDER",437151,2000
"SUMAL?","DEGEHABUR",373605,2000
"SUMAL?","FIK",291418,2000
"SUMAL?","GODE",364744,2000
"SUMAL?","JIJIGA",844549,2000
"SUMAL?","KORAHE",282681,2000
"SUMAL?","LIBEN",495963,2000
"SUMAL?","SHINILE",391650,2000
"SUMAL?","WARDER",316069,2000
"TIGRAY","CENTRAL TIGRAY",1121975,2000
"TIGRAY","EASTERN TIGRAY",699788,2000
"TIGRAY","MEKELE SPECIAL",145932,2000
"TIGRAY","NORTH WESTERN TIGRAY",653473,2000
"TIGRAY","SOUTHERN TIGRAY",929495,2000
"TIGRAY","WESTERN TIGRAY",279439,2000
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","BENCH MAJI",470647,2000
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","DAWURO",489804,2000
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","GAMO GOFA",1346565,2000
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","GEDEO",709722,2000
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","GURAGE",1257434,2000
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","HADIYA",1114463,2000
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","HAWASSA CITY ADMINISTRATION-ZONE",197198,2000
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","KEFFA",734402,2000
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","KEMBATA TIMBARO",627667,2000
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SHEKA",166278,2000
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SIDAMA",2429704,2000
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SILTI",859068,2000
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SOUTH OMO",442134,2000
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","WOLAYITA",1365640,2000
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","YEM SPECIAL WEREDA",514536,2000
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","YEM SPECIAL ZONE",66303,2000
"ADIS ABEBA","ADDIS KETEMA",262787,2001
"ADIS ABEBA","AKAKI KALITI",144425,2001
"ADIS ABEBA","ARADA",249220,2001
"ADIS ABEBA","BOLE",232849,2001
"ADIS ABEBA","GULELE",276481,2001
"ADIS ABEBA","KIRKOS",227367,2001
"ADIS ABEBA","KOLFE KERANIYO",312708,2001
