"ADM1_NAME","ADM2_NAME","Year","Female_0-19_Population","Female_20-59_Population","Female_60+_Population","Male_0-19_Population","Male_20-59_Population","Male_60+_Population"
"ADIS ABEBA","ADDIS KETEMA",2000,51477,72231,9143,40769,81208,6196
"ADIS ABEBA","ADDIS KETEMA",2001,51723,72921,9216,40962,81744,6221
"ADIS ABEBA","ADDIS KETEMA",2002,51959,73615,9289,41151,82283,6248
"ADIS ABEBA","ADDIS KETEMA",2003,52164,74312,9366,41311,82837,6281
"ADIS ABEBA","ADDIS KETEMA",2004,52414,74919,9452,41516,83284,6317
"ADIS ABEBA","ADDIS KETEMA",2005,52962,75188,9554,41911,83442,6360
"ADIS ABEBA","ADDIS KETEMA",2006,53290,75580,9654,42143,83785,6404
"ADIS ABEBA","ADDIS KETEMA",2007,53440,76093,9760,42240,84280,6450
"ADIS ABEBA","ADDIS KETEMA",2008,53587,76570,9871,42331,84728,6502
"ADIS ABEBA","ADDIS KETEMA",2009,53725,77028,9989,42412,85128,6556
"ADIS ABEBA","ADDIS KETEMA",2010,53838,77499,10109,42473,85480,6614
"ADIS ABEBA","ADDIS KETEMA",2011,53903,77910,10227,42502,85789,6672
"ADIS ABEBA","ADDIS KETEMA",2012,53976,78231,10347,42537,86006,6731
"ADIS ABEBA","ADDIS KETEMA",2013,53997,78535,10466,42535,86197,6790
"ADIS ABEBA","ADDIS KETEMA",2014,53971,78817,10584,42502,86352,6846
"ADIS ABEBA","ADDIS KETEMA",2015,53861,79109,10698,42409,86498,6898
"ADIS ABEBA","ADDIS KETEMA",2016,53684,79380,10811,42270,86616,6951
"ADIS ABEBA","ADDIS KETEMA",2017,53418,79632,10927,42065,86706,7002
"ADIS ABEBA","ADDIS KETEMA",2018,53064,79854,11034,41799,86762,7047
"ADIS ABEBA","ADDIS KETEMA",2019,52633,80024,11138,41476,86778,7087
"ADIS ABEBA","ADDIS KETEMA",2020,52146,80113,11233,41104,86749,7120
"ADIS ABEBA","AKAKI KALITI",2000,29567,37068,3087,24659,40278,2722
"ADIS ABEBA","AKAKI KALITI",2001,31038,39075,3248,25888,42323,2853
"ADIS ABEBA","AKAKI KALITI",2002,32571,41195,3420,27166,44477,2993
"ADIS ABEBA","AKAKI KALITI",2003,34161,43429,3601,28492,46745,3142
"ADIS ABEBA","AKAKI KALITI",2004,35853,45727,3798,29905,49073,3302
"ADIS ABEBA","AKAKI KALITI",2005,37794,47931,4009,31491,51365,3472
"ADIS ABEBA","AKAKI KALITI",2006,39699,50329,4231,33056,53866,3651
"ADIS ABEBA","AKAKI KALITI",2007,41580,52930,4469,34612,56580,3842
"ADIS ABEBA","AKAKI KALITI",2008,43542,55644,4722,36227,59403,4044
"ADIS ABEBA","AKAKI KALITI",2009,45584,58480,4992,37904,62338,4260
"ADIS ABEBA","AKAKI KALITI",2010,47698,61467,5278,39639,65389,4491
"ADIS ABEBA","AKAKI KALITI",2011,49860,64560,5580,41412,68559,4733
"ADIS ABEBA","AKAKI KALITI",2012,52111,67737,5900,43254,71827,4988
"ADIS ABEBA","AKAKI KALITI",2013,54413,71060,6236,45138,75233,5257
"ADIS ABEBA","AKAKI KALITI",2014,56765,74526,6589,47066,78770,5539
"ADIS ABEBA","AKAKI KALITI",2015,59137,78172,6959,49016,82458,5830
"ADIS ABEBA","AKAKI KALITI",2016,61531,81973,7349,50989,86299,6136
"ADIS ABEBA","AKAKI KALITI",2017,63926,85936,7760,52967,90294,6458
"ADIS ABEBA","AKAKI KALITI",2018,66308,90055,8188,54944,94440,6790
"ADIS ABEBA","AKAKI KALITI",2019,68684,94309,8638,56917,98723,7133
"ADIS ABEBA","AKAKI KALITI",2020,71071,98666,9104,58897,103136,7487
"ADIS ABEBA","ARADA",2000,47217,77568,8970,35258,78186,6087
"ADIS ABEBA","ARADA",2001,46364,76523,8836,34627,76897,5973
"ADIS ABEBA","ARADA",2002,45521,75486,8705,33999,75629,5865
"ADIS ABEBA","ARADA",2003,44664,74458,8581,33360,74391,5760
"ADIS ABEBA","ARADA",2004,43859,73353,8466,32766,73087,5662
"ADIS ABEBA","ARADA",2005,43320,71964,8362,32319,71588,5573
"ADIS ABEBA","ARADA",2006,42601,70702,8260,31756,70255,5484
"ADIS ABEBA","ARADA",2007,41750,69560,8162,31107,69053,5399
"ADIS ABEBA","ARADA",2008,40911,68404,8068,30461,67833,5317
"ADIS ABEBA","ARADA",2009,40086,67250,7979,29820,66595,5239
"ADIS ABEBA","ARADA",2010,39256,66118,7893,29180,65339,5166
"ADIS ABEBA","ARADA",2011,38409,64954,7803,28527,64077,5092
"ADIS ABEBA","ARADA",2012,37584,63743,7718,27888,62782,5021
"ADIS ABEBA","ARADA",2013,36741,62540,7630,27241,61489,4947
"ADIS ABEBA","ARADA",2014,35886,61337,7540,26586,60199,4875
"ADIS ABEBA","ARADA",2015,34995,60156,7448,25913,58927,4801
"ADIS ABEBA","ARADA",2016,34081,58984,7355,25226,57659,4727
"ADIS ABEBA","ARADA",2017,33134,57819,7262,24521,56400,4650
