"year","year_month","admin1","admin2","mean.rainfall","rainfall_lag"
1981,"1981-01","Addis Ababa","Addis Ababa",5.0449222103,NA
1981,"1981-02","Addis Ababa","Addis Ababa",28.847010272,5.0449222103
1981,"1981-03","Addis Ababa","Addis Ababa",182.28889969,28.847010272
1981,"1981-04","Addis Ababa","Addis Ababa",76.386104469,182.28889969
1981,"1981-05","Addis Ababa","Addis Ababa",12.5129353407,76.386104469
1981,"1981-06","Addis Ababa","Addis Ababa",47.726123498,12.5129353407
1981,"1981-07","Addis Ababa","Addis Ababa",321.03835745,47.726123498
1981,"1981-08","Addis Ababa","Addis Ababa",293.44353057,321.03835745
1981,"1981-09","Addis Ababa","Addis Ababa",158.2996578,293.44353057
1981,"1981-10","Addis Ababa","Addis Ababa",13.576925164,158.2996578
1981,"1981-11","Addis Ababa","Addis Ababa",4.4715485322,13.576925164
1981,"1981-12","Addis Ababa","Addis Ababa",7.9275952483,4.4715485322
1982,"1982-01","Addis Ababa","Addis Ababa",33.35387624,NA
1982,"1982-02","Addis Ababa","Addis Ababa",62.361075649,33.35387624
1982,"1982-03","Addis Ababa","Addis Ababa",64.206152505,62.361075649
1982,"1982-04","Addis Ababa","Addis Ababa",64.757198659,64.206152505
1982,"1982-05","Addis Ababa","Addis Ababa",78.475632121,64.757198659
1982,"1982-06","Addis Ababa","Addis Ababa",65.196907251,78.475632121
1982,"1982-07","Addis Ababa","Addis Ababa",231.56874483,65.196907251
1982,"1982-08","Addis Ababa","Addis Ababa",271.13439868,231.56874483
1982,"1982-09","Addis Ababa","Addis Ababa",129.89136394,271.13439868
1982,"1982-10","Addis Ababa","Addis Ababa",43.398080259,129.89136394
1982,"1982-11","Addis Ababa","Addis Ababa",21.968124593,43.398080259
1982,"1982-12","Addis Ababa","Addis Ababa",9.799742219,21.968124593
1983,"1983-01","Addis Ababa","Addis Ababa",13.2518489845,NA
1983,"1983-02","Addis Ababa","Addis Ababa",32.581765881,13.2518489845
1983,"1983-03","Addis Ababa","Addis Ababa",49.668956167,32.581765881
1983,"1983-04","Addis Ababa","Addis Ababa",110.392026585,49.668956167
1983,"1983-05","Addis Ababa","Addis Ababa",176.69927442,110.392026585
1983,"1983-06","Addis Ababa","Addis Ababa",84.439090174,176.69927442
1983,"1983-07","Addis Ababa","Addis Ababa",224.07301913,84.439090174
1983,"1983-08","Addis Ababa","Addis Ababa",291.73568355,224.07301913
1983,"1983-09","Addis Ababa","Addis Ababa",146.05170294,291.73568355
1983,"1983-10","Addis Ababa","Addis Ababa",25.030328532,146.05170294
1983,"1983-11","Addis Ababa","Addis Ababa",6.7810819667,25.030328532
1983,"1983-12","Addis Ababa","Addis Ababa",6.3275430968,6.7810819667
1984,"1984-01","Addis Ababa","Addis Ababa",7.9142214397,NA
1984,"1984-02","Addis Ababa","Addis Ababa",11.5010538063,7.9142214397
1984,"1984-03","Addis Ababa","Addis Ababa",30.159847192,11.5010538063
1984,"1984-04","Addis Ababa","Addis Ababa",16.954471774,30.159847192
1984,"1984-05","Addis Ababa","Addis Ababa",121.846785444,16.954471774
1984,"1984-06","Addis Ababa","Addis Ababa",208.25737818,121.846785444
1984,"1984-07","Addis Ababa","Addis Ababa",289.42880092,208.25737818
1984,"1984-08","Addis Ababa","Addis Ababa",229.53159618,289.42880092
1984,"1984-09","Addis Ababa","Addis Ababa",141.07124172,229.53159618
1984,"1984-10","Addis Ababa","Addis Ababa",9.2195441986,141.07124172
1984,"1984-11","Addis Ababa","Addis Ababa",5.6453969032,9.2195441986
1984,"1984-12","Addis Ababa","Addis Ababa",8.7386316095,5.6453969032
1985,"1985-01","Addis Ababa","Addis Ababa",17.3893071475,NA
1985,"1985-02","Addis Ababa","Addis Ababa",7.2099755128,17.3893071475
1985,"1985-03","Addis Ababa","Addis Ababa",36.683015974,7.2099755128
1985,"1985-04","Addis Ababa","Addis Ababa",110.909248809,36.683015974
1985,"1985-05","Addis Ababa","Addis Ababa",75.484992074,110.909248809
1985,"1985-06","Addis Ababa","Addis Ababa",93.913269434,75.484992074
1985,"1985-07","Addis Ababa","Addis Ababa",315.24707631,93.913269434
1985,"1985-08","Addis Ababa","Addis Ababa",304.33897475,315.24707631
1985,"1985-09","Addis Ababa","Addis Ababa",134.96972042,304.33897475
1985,"1985-10","Addis Ababa","Addis Ababa",21.53452094,134.96972042
1985,"1985-11","Addis Ababa","Addis Ababa",5.8044386935,21.53452094
1985,"1985-12","Addis Ababa","Addis Ababa",5.7606594,5.8044386935
1986,"1986-01","Addis Ababa","Addis Ababa",8.5618045603,NA
1986,"1986-02","Addis Ababa","Addis Ababa",42.890854297,8.5618045603
1986,"1986-03","Addis Ababa","Addis Ababa",72.31754777,42.890854297
1986,"1986-04","Addis Ababa","Addis Ababa",158.1609879,72.31754777
1986,"1986-05","Addis Ababa","Addis Ababa",66.462254009,158.1609879
1986,"1986-06","Addis Ababa","Addis Ababa",156.29137855,66.462254009
1986,"1986-07","Addis Ababa","Addis Ababa",241.17938181,156.29137855
1986,"1986-08","Addis Ababa","Addis Ababa",246.84828857,241.17938181
1986,"1986-09","Addis Ababa","Addis Ababa",159.92814603,246.84828857
1986,"1986-10","Addis Ababa","Addis Ababa",19.088343502,159.92814603
1986,"1986-11","Addis Ababa","Addis Ababa",4.9593871189,19.088343502
1986,"1986-12","Addis Ababa","Addis Ababa",5.7506157225,4.9593871189
1987,"1987-01","Addis Ababa","Addis Ababa",8.7400850259,NA
1987,"1987-02","Addis Ababa","Addis Ababa",51.773764986,8.7400850259
1987,"1987-03","Addis Ababa","Addis Ababa",179.15034003,51.773764986
1987,"1987-04","Addis Ababa","Addis Ababa",91.400457093,179.15034003
1987,"1987-05","Addis Ababa","Addis Ababa",135.111298295,91.400457093
1987,"1987-06","Addis Ababa","Addis Ababa",89.660401593,135.111298295
1987,"1987-07","Addis Ababa","Addis Ababa",228.85607671,89.660401593
1987,"1987-08","Addis Ababa","Addis Ababa",228.64313322,228.85607671
1987,"1987-09","Addis Ababa","Addis Ababa",121.934145672,228.64313322
1987,"1987-10","Addis Ababa","Addis Ababa",19.931383298,121.934145672
1987,"1987-11","Addis Ababa","Addis Ababa",4.9931476579,19.931383298
1987,"1987-12","Addis Ababa","Addis Ababa",5.718225599,4.9931476579
1988,"1988-01","Addis Ababa","Addis Ababa",11.5144772208,NA
1988,"1988-02","Addis Ababa","Addis Ababa",36.824146964,11.5144772208
1988,"1988-03","Addis Ababa","Addis Ababa",22.299082858,36.824146964
1988,"1988-04","Addis Ababa","Addis Ababa",99.362656383,22.299082858
1988,"1988-05","Addis Ababa","Addis Ababa",26.383409413,99.362656383
1988,"1988-06","Addis Ababa","Addis Ababa",132.85927632,26.383409413
1988,"1988-07","Addis Ababa","Addis Ababa",264.52983545,132.85927632
1988,"1988-08","Addis Ababa","Addis Ababa",291.42626759,264.52983545
1988,"1988-09","Addis Ababa","Addis Ababa",218.23374421,291.42626759
1988,"1988-10","Addis Ababa","Addis Ababa",33.946244986,218.23374421
1988,"1988-11","Addis Ababa","Addis Ababa",4.9576687797,33.946244986
1988,"1988-12","Addis Ababa","Addis Ababa",5.2634731234,4.9576687797
1989,"1989-01","Addis Ababa","Addis Ababa",14.58643148,NA
1989,"1989-02","Addis Ababa","Addis Ababa",40.54589549,14.58643148
1989,"1989-03","Addis Ababa","Addis Ababa",88.914715277,40.54589549
1989,"1989-04","Addis Ababa","Addis Ababa",135.55285972,88.914715277
1989,"1989-05","Addis Ababa","Addis Ababa",13.727215928,135.55285972
1989,"1989-06","Addis Ababa","Addis Ababa",89.993990675,13.727215928
1989,"1989-07","Addis Ababa","Addis Ababa",319.80965901,89.993990675
1989,"1989-08","Addis Ababa","Addis Ababa",324.69410844,319.80965901
1989,"1989-09","Addis Ababa","Addis Ababa",155.13109232,324.69410844
1989,"1989-10","Addis Ababa","Addis Ababa",29.922342573,155.13109232
1989,"1989-11","Addis Ababa","Addis Ababa",5.3540484141,29.922342573
1989,"1989-12","Addis Ababa","Addis Ababa",11.8728970523,5.3540484141
1990,"1990-01","Addis Ababa","Addis Ababa",10.4632809966,NA
1990,"1990-02","Addis Ababa","Addis Ababa",147.76762069,10.4632809966
1990,"1990-03","Addis Ababa","Addis Ababa",60.298471764,147.76762069
1990,"1990-04","Addis Ababa","Addis Ababa",119.663270207,60.298471764
1990,"1990-05","Addis Ababa","Addis Ababa",32.874397011,119.663270207
1990,"1990-06","Addis Ababa","Addis Ababa",81.569462192,32.874397011
1990,"1990-07","Addis Ababa","Addis Ababa",242.16908888,81.569462192
1990,"1990-08","Addis Ababa","Addis Ababa",372.4132645,242.16908888
1990,"1990-09","Addis Ababa","Addis Ababa",203.84105895,372.4132645
1990,"1990-10","Addis Ababa","Addis Ababa",19.600694223,203.84105895
1990,"1990-11","Addis Ababa","Addis Ababa",6.5628310002,19.600694223
1990,"1990-12","Addis Ababa","Addis Ababa",5.4355712602,6.5628310002
1991,"1991-01","Addis Ababa","Addis Ababa",11.6728656826,NA
1991,"1991-02","Addis Ababa","Addis Ababa",47.274473965,11.6728656826
1991,"1991-03","Addis Ababa","Addis Ababa",138.59677065,47.274473965
1991,"1991-04","Addis Ababa","Addis Ababa",24.34775579,138.59677065
1991,"1991-05","Addis Ababa","Addis Ababa",36.992175825,24.34775579
1991,"1991-06","Addis Ababa","Addis Ababa",148.17124306,36.992175825
1991,"1991-07","Addis Ababa","Addis Ababa",323.48702393,148.17124306
1991,"1991-08","Addis Ababa","Addis Ababa",254.75125958,323.48702393
1991,"1991-09","Addis Ababa","Addis Ababa",140.10465837,254.75125958
1991,"1991-10","Addis Ababa","Addis Ababa",12.4507796651,140.10465837
1991,"1991-11","Addis Ababa","Addis Ababa",5.4448154189,12.4507796651
1991,"1991-12","Addis Ababa","Addis Ababa",15.739821272,5.4448154189
1992,"1992-01","Addis Ababa","Addis Ababa",29.194141789,NA
1992,"1992-02","Addis Ababa","Addis Ababa",50.306702548,29.194141789
1992,"1992-03","Addis Ababa","Addis Ababa",49.528468648,50.306702548
1992,"1992-04","Addis Ababa","Addis Ababa",42.129510521,49.528468648
1992,"1992-05","Addis Ababa","Addis Ababa",43.03052945,42.129510521
1992,"1992-06","Addis Ababa","Addis Ababa",86.806753448,43.03052945
1992,"1992-07","Addis Ababa","Addis Ababa",221.61184817,86.806753448
1992,"1992-08","Addis Ababa","Addis Ababa",264.3928526,221.61184817
1992,"1992-09","Addis Ababa","Addis Ababa",149.98441165,264.3928526
1992,"1992-10","Addis Ababa","Addis Ababa",51.402150404,149.98441165
1992,"1992-11","Addis Ababa","Addis Ababa",6.3429717871,51.402150404
1992,"1992-12","Addis Ababa","Addis Ababa",6.1489842804,6.3429717871
1993,"1993-01","Addis Ababa","Addis Ababa",15.7246655321,NA
1993,"1993-02","Addis Ababa","Addis Ababa",69.439985102,15.7246655321
1993,"1993-03","Addis Ababa","Addis Ababa",22.624209428,69.439985102
1993,"1993-04","Addis Ababa","Addis Ababa",135.76598371,22.624209428
1993,"1993-05","Addis Ababa","Addis Ababa",75.530131268,135.76598371
1993,"1993-06","Addis Ababa","Addis Ababa",129.38563864,75.530131268
1993,"1993-07","Addis Ababa","Addis Ababa",260.44880814,129.38563864
1993,"1993-08","Addis Ababa","Addis Ababa",332.05555142,260.44880814
1993,"1993-09","Addis Ababa","Addis Ababa",206.86158983,332.05555142
1993,"1993-10","Addis Ababa","Addis Ababa",33.55432771,206.86158983
1993,"1993-11","Addis Ababa","Addis Ababa",5.2579532074,33.55432771
1993,"1993-12","Addis Ababa","Addis Ababa",5.982344652,5.2579532074
1994,"1994-01","Addis Ababa","Addis Ababa",7.7696074373,NA
1994,"1994-02","Addis Ababa","Addis Ababa",7.8329356799,7.7696074373
1994,"1994-03","Addis Ababa","Addis Ababa",49.265637786,7.8329356799
1994,"1994-04","Addis Ababa","Addis Ababa",61.097718718,49.265637786
1994,"1994-05","Addis Ababa","Addis Ababa",44.59380366,61.097718718
1994,"1994-06","Addis Ababa","Addis Ababa",131.24888541,44.59380366
1994,"1994-07","Addis Ababa","Addis Ababa",296.27585329,131.24888541
1994,"1994-08","Addis Ababa","Addis Ababa",256.747272,296.27585329
1994,"1994-09","Addis Ababa","Addis Ababa",149.8183554,256.747272
1994,"1994-10","Addis Ababa","Addis Ababa",10.6841942094,149.8183554
1994,"1994-11","Addis Ababa","Addis Ababa",11.1931330278,10.6841942094
1994,"1994-12","Addis Ababa","Addis Ababa",5.5491310294,11.1931330278
1995,"1995-01","Addis Ababa","Addis Ababa",8.5267727094,NA
1995,"1995-02","Addis Ababa","Addis Ababa",47.217195488,8.5267727094
1995,"1995-03","Addis Ababa","Addis Ababa",59.237134067,47.217195488
1995,"1995-04","Addis Ababa","Addis Ababa",126.991998092,59.237134067
1995,"1995-05","Addis Ababa","Addis Ababa",63.588001714,126.991998092
1995,"1995-06","Addis Ababa","Addis Ababa",83.655183851,63.588001714
1995,"1995-07","Addis Ababa","Addis Ababa",241.46069656,83.655183851
1995,"1995-08","Addis Ababa","Addis Ababa",303.70772334,241.46069656
1995,"1995-09","Addis Ababa","Addis Ababa",99.651901568,303.70772334
1995,"1995-10","Addis Ababa","Addis Ababa",11.0904453795,99.651901568
1995,"1995-11","Addis Ababa","Addis Ababa",5.9518767747,11.0904453795
1995,"1995-12","Addis Ababa","Addis Ababa",15.0500947108,5.9518767747
1996,"1996-01","Addis Ababa","Addis Ababa",34.794704502,NA
1996,"1996-02","Addis Ababa","Addis Ababa",14.223134758,34.794704502
1996,"1996-03","Addis Ababa","Addis Ababa",100.18672752,14.223134758
1996,"1996-04","Addis Ababa","Addis Ababa",73.363096641,100.18672752
1996,"1996-05","Addis Ababa","Addis Ababa",97.873563804,73.363096641
1996,"1996-06","Addis Ababa","Addis Ababa",195.74620315,97.873563804
1996,"1996-07","Addis Ababa","Addis Ababa",287.05842285,195.74620315
1996,"1996-08","Addis Ababa","Addis Ababa",356.60772457,287.05842285
1996,"1996-09","Addis Ababa","Addis Ababa",166.20519312,356.60772457
1996,"1996-10","Addis Ababa","Addis Ababa",12.7247342224,166.20519312
1996,"1996-11","Addis Ababa","Addis Ababa",5.6128358594,12.7247342224
1996,"1996-12","Addis Ababa","Addis Ababa",5.4852529411,5.6128358594
1997,"1997-01","Addis Ababa","Addis Ababa",22.234521127,NA
1997,"1997-02","Addis Ababa","Addis Ababa",7.6868300929,22.234521127
1997,"1997-03","Addis Ababa","Addis Ababa",33.779907054,7.6868300929
1997,"1997-04","Addis Ababa","Addis Ababa",83.076371695,33.779907054
1997,"1997-05","Addis Ababa","Addis Ababa",43.677376637,83.076371695
1997,"1997-06","Addis Ababa","Addis Ababa",109.083588765,43.677376637
1997,"1997-07","Addis Ababa","Addis Ababa",250.46384504,109.083588765
1997,"1997-08","Addis Ababa","Addis Ababa",210.9519211,250.46384504
1997,"1997-09","Addis Ababa","Addis Ababa",97.734329801,210.9519211
1997,"1997-10","Addis Ababa","Addis Ababa",70.31190932,97.734329801
1997,"1997-11","Addis Ababa","Addis Ababa",23.93187443,70.31190932
1997,"1997-12","Addis Ababa","Addis Ababa",6.2018846324,23.93187443
1998,"1998-01","Addis Ababa","Addis Ababa",45.274013173,NA
1998,"1998-02","Addis Ababa","Addis Ababa",36.255272686,45.274013173
1998,"1998-03","Addis Ababa","Addis Ababa",39.128928179,36.255272686
1998,"1998-04","Addis Ababa","Addis Ababa",65.373100431,39.128928179
1998,"1998-05","Addis Ababa","Addis Ababa",104.126589588,65.373100431
1998,"1998-06","Addis Ababa","Addis Ababa",128.67586108,104.126589588
1998,"1998-07","Addis Ababa","Addis Ababa",306.75404933,128.67586108
1998,"1998-08","Addis Ababa","Addis Ababa",311.4182387,306.75404933
1998,"1998-09","Addis Ababa","Addis Ababa",194.84269734,311.4182387
1998,"1998-10","Addis Ababa","Addis Ababa",78.710890169,194.84269734
1998,"1998-11","Addis Ababa","Addis Ababa",5.2974724148,78.710890169
1998,"1998-12","Addis Ababa","Addis Ababa",5.3660968332,5.2974724148
1999,"1999-01","Addis Ababa","Addis Ababa",13.7906047604,NA
1999,"1999-02","Addis Ababa","Addis Ababa",8.7542368513,13.7906047604
1999,"1999-03","Addis Ababa","Addis Ababa",52.801288847,8.7542368513
1999,"1999-04","Addis Ababa","Addis Ababa",23.064915813,52.801288847
1999,"1999-05","Addis Ababa","Addis Ababa",39.331635654,23.064915813
1999,"1999-06","Addis Ababa","Addis Ababa",125.82589275,39.331635654
1999,"1999-07","Addis Ababa","Addis Ababa",319.32524655,125.82589275
1999,"1999-08","Addis Ababa","Addis Ababa",327.40526335,319.32524655
1999,"1999-09","Addis Ababa","Addis Ababa",103.555355161,327.40526335
1999,"1999-10","Addis Ababa","Addis Ababa",59.274141703,103.555355161
1999,"1999-11","Addis Ababa","Addis Ababa",6.306354673,59.274141703
1999,"1999-12","Addis Ababa","Addis Ababa",5.4738557021,6.306354673
2000,"2000-01","Addis Ababa","Addis Ababa",7.8039567339,NA
2000,"2000-02","Addis Ababa","Addis Ababa",7.4210711464,7.8039567339
2000,"2000-03","Addis Ababa","Addis Ababa",30.170711905,7.4210711464
2000,"2000-04","Addis Ababa","Addis Ababa",78.683693672,30.170711905
2000,"2000-05","Addis Ababa","Addis Ababa",85.536168505,78.683693672
2000,"2000-06","Addis Ababa","Addis Ababa",127.05161741,85.536168505
2000,"2000-07","Addis Ababa","Addis Ababa",282.81530818,127.05161741
2000,"2000-08","Addis Ababa","Addis Ababa",311.84722262,282.81530818
2000,"2000-09","Addis Ababa","Addis Ababa",177.00073122,311.84722262
2000,"2000-10","Addis Ababa","Addis Ababa",30.963507832,177.00073122
2000,"2000-11","Addis Ababa","Addis Ababa",14.8527299227,30.963507832
2000,"2000-12","Addis Ababa","Addis Ababa",9.1337820927,14.8527299227
